lanskod;lan_namn;kommunkod;kommunnamn;tatortskod;tatort;area_ha;bef
23;Jämtland;2303;Ragunda;T7964;Stugun;108;599
23;Jämtland;2321;Åre;T7852;Hallen;90;220
22;Västernorrland;2283;Sollefteå;T7662;Sollefteå norra;164;1387
22;Västernorrland;2283;Sollefteå;T7572;Långsele;247;1642
22;Västernorrland;2283;Sollefteå;T7660;Sollefteå;801;7399
22;Västernorrland;2284;Örnsköldsvik;T7540;Köpmanholmen;231;1194
23;Jämtland;2380;Östersund;T8044;Östersund;3484;49806
22;Västernorrland;2284;Örnsköldsvik;T7732;Åmynnet;40;333
23;Jämtland;2309;Krokom;T7814;Åssjöns norra strand;97;324
23;Jämtland;2309;Krokom;T8028;Ås;292;1572
22;Västernorrland;2284;Örnsköldsvik;T7424;Bjästa;240;1845
23;Jämtland;2309;Krokom;T7824;Dvärsätt;131;745
23;Jämtland;2321;Åre;T7916;Mörsil;133;781
23;Jämtland;2380;Östersund;T7908;Lit;133;1117
23;Jämtland;2309;Krokom;T7872;Hissmofors;110;308
23;Jämtland;2321;Åre;T8000;Undersåker;148;573
23;Jämtland;2309;Krokom;T7988;Trångsviken;56;272
23;Jämtland;2309;Krokom;T8002;Vaplan;59;259
22;Västernorrland;2284;Örnsköldsvik;T7644;Sidensjö;128;380
23;Jämtland;2309;Krokom;T7932;Nälden;131;986
23;Jämtland;2309;Krokom;T7800;Aspås;155;474
23;Jämtland;2321;Åre;T7884;Järpen;234;1539
22;Västernorrland;2284;Örnsköldsvik;T7420;Billsta;104;361
22;Västernorrland;2284;Örnsköldsvik;T7744;Örnsköldsvik;3309;32493
23;Jämtland;2380;Östersund;T7880;Häggenås;107;361
23;Jämtland;2321;Åre;T7810;Björnänge;375;630
22;Västernorrland;2284;Örnsköldsvik;T7496;Husum;394;1563
23;Jämtland;2321;Åre;T8024;Åre;635;2768
22;Västernorrland;2284;Örnsköldsvik;T7592;Moliden;67;300
23;Jämtland;2309;Krokom;T8040;Änge;62;322
22;Västernorrland;2283;Sollefteå;T7620;Näsåker;137;526
22;Västernorrland;2284;Örnsköldsvik;T7584;Mellansel;191;825
22;Västernorrland;2284;Örnsköldsvik;T7482;Gottne;56;212
22;Västernorrland;2284;Örnsköldsvik;T7444;Bredbyn;193;1200
22;Västernorrland;2284;Örnsköldsvik;T7476;Gideå;66;255
22;Västernorrland;2283;Sollefteå;T7628;Ramsele;215;858
23;Jämtland;2313;Strömsund;T7860;Hammerdal;359;1043
22;Västernorrland;2284;Örnsköldsvik;T7428;Björna;73;430
24;Västerbotten;2401;Nordmaling;T8296;Rundvik;171;810
24;Västerbotten;2401;Nordmaling;T8236;Lögdeå;181;516
24;Västerbotten;2401;Nordmaling;T8256;Nordmaling;297;2671
23;Jämtland;2309;Krokom;T7836;Föllinge;176;511
22;Västernorrland;2284;Örnsköldsvik;T7576;Långviksmon;60;220
22;Västernorrland;2283;Sollefteå;T7512;Junsele;226;873
24;Västerbotten;2480;Umeå;T8208;Hörnefors;236;2514
24;Västerbotten;2480;Umeå;T8260;Norrmjöle;146;228
24;Västerbotten;2480;Umeå;T8348;Sörmjöle;69;307
24;Västerbotten;2480;Umeå;T8280;Obbola;229;2173
23;Jämtland;2313;Strömsund;T7804;Backe;152;535
24;Västerbotten;2480;Umeå;T8332;Stöcke;70;487
23;Jämtland;2313;Strömsund;T7934;Näsviken;82;226
23;Jämtland;2313;Strömsund;T7960;Strömsund;392;3690
24;Västerbotten;2480;Umeå;T8334;Stöcksjö;110;394
24;Västerbotten;2480;Umeå;T8394;Yttersjö;110;442
24;Västerbotten;2480;Umeå;T8354;Tomtebo;38;741
24;Västerbotten;2480;Umeå;T8304;Röbäck;252;2460
24;Västerbotten;2480;Umeå;T8210;Innertavle;72;576
23;Jämtland;2313;Strömsund;T7948;Rossön;186;344
24;Västerbotten;2480;Umeå;T8412;Överboda;61;241
24;Västerbotten;2480;Umeå;T8360;Täfteå;145;1305
24;Västerbotten;2480;Umeå;T8344;Sörfors;114;460
24;Västerbotten;2480;Umeå;T8140;Brännland;63;336
24;Västerbotten;2480;Umeå;T8372;Umeå;3220;83249
24;Västerbotten;2480;Umeå;T8368;Ersmark;149;1650
24;Västerbotten;2460;Vännäs;T8384;Vännäs;409;4373
24;Västerbotten;2403;Bjurholm;T8120;Bjurholm;164;1000
24;Västerbotten;2460;Vännäs;T8388;Vännäsby;205;1581
24;Västerbotten;2480;Umeå;T8336;Sävar;326;2968
24;Västerbotten;2480;Umeå;T8196;Hissjön;107;471
24;Västerbotten;2480;Umeå;T8174;Flurkmark;45;210
23;Jämtland;2313;Strömsund;T7876;Hoting;116;648
24;Västerbotten;2480;Umeå;T8352;Tavelsjö;76;461
24;Västerbotten;2480;Umeå;T8142;Bullmark;44;329
24;Västerbotten;2409;Robertsfors;T8152;Bygdeå;79;512
