OBJECTID;AR;LANSKOD;AREA_HA;BEF;KOMMUNKOD;KOMMUNNAMN;TATORTSKOD;TATORT;LAN_NAMN
9838;2015;12;86;374;1293;Hässleholm;T3140;Vankiva;Skåne
9839;2015;12;40;206;1293;Hässleholm;T2946;Hörja;Skåne
9840;2015;10;116;673;1082;Karlshamn;T2648;Hällaryd;Blekinge
9841;2015;10;344;3284;1080;Karlskrona;T2712;Nättraby;Blekinge
9842;2015;12;229;1740;1276;Klippan;T3224;Östra Ljungby;Skåne
9843;2015;12;113;298;1256;Östra Göinge;T2948;Immeln;Skåne
9844;2015;12;66;328;1293;Hässleholm;T2804;Ballingslöv;Skåne
9845;2015;12;69;225;1283;Helsingborg;T3764;Tånga och Rögle;Skåne
9846;2015;10;462;3903;1082;Karlshamn;T2700;Mörrum;Blekinge
9847;2015;10;821;12612;1081;Ronneby;T2732;Ronneby;Blekinge
9848;2015;10;100;766;1081;Ronneby;T2660;Johannishus;Blekinge
9849;2015;10;59;223;1060;Olofström;T2628;Gränum;Blekinge
9850;2015;10;2100;36477;1080;Karlskrona;T2680;Karlskrona;Blekinge
9851;2015;12;33;238;1283;Helsingborg;T3766;Utvälinge;Skåne
9852;2015;10;241;1708;1081;Ronneby;T2604;Bräkne-Hoby;Blekinge
9853;2015;12;35;223;1292;Ängelholm;T3210;Össjö;Skåne
9854;2015;12;95;312;1284;Höganäs;T2866;Farhult;Skåne
9855;2015;12;78;204;1293;Hässleholm;T3044;Röke;Skåne
9856;2015;10;1655;20112;1082;Karlshamn;T2676;Karlshamn;Blekinge
9857;2015;12;81;230;1293;Hässleholm;T3008;Mala;Skåne
9858;2015;10;235;1612;1060;Olofström;T2668;Jämshög;Blekinge
9859;2015;10;554;4664;1081;Ronneby;T2672;Kallinge;Blekinge
9860;2015;12;109;412;1257;Örkelljunga;T2856;Eket;Skåne
9861;2015;10;85;397;1080;Karlskrona;T2624;Fågelmara;Blekinge
9862;2015;12;1011;14778;1284;Höganäs;T3488;Höganäs;Skåne
9863;2015;12;378;3104;1256;Östra Göinge;T2828;Broby;Skåne
9864;2015;12;192;1972;1284;Höganäs;T3512;Jonstorp;Skåne
9865;2015;10;110;708;1080;Karlskrona;T2620;Fridlevstad;Blekinge
9866;2015;12;161;1431;1256;Östra Göinge;T3052;Sibbhult;Skåne
9867;2015;10;245;1904;1082;Karlshamn;T2748;Svängsta;Blekinge
9868;2015;12;83;521;1292;Ängelholm;T3198;Havsbaden;Skåne
9869;2015;10;62;266;1080;Karlskrona;T2686;Kättilsmåla;Blekinge
9870;2015;10;377;3508;1080;Karlskrona;T2736;Rödeby;Blekinge
9871;2015;12;297;3148;1292;Ängelholm;T3012;Munka-Ljungby;Skåne
9872;2015;10;669;7526;1060;Olofström;T2720;Olofström;Blekinge
9873;2015;12;63;221;1292;Ängelholm;T3132;Toarp och Tåstarp;Skåne
9874;2015;12;330;713;1284;Höganäs;T3320;Arild;Skåne
9875;2015;12;288;1693;1293;Hässleholm;T2940;Hästveda;Skåne
9876;2015;12;434;2755;1293;Hässleholm;T2816;Bjärnum;Skåne
9877;2015;12;86;634;1284;Höganäs;T3616;Mölle;Skåne
9878;2015;12;821;5193;1257;Örkelljunga;T3208;Örkelljunga;Skåne
9879;2015;10;170;548;1080;Karlskrona;T2764;Tving;Blekinge
9880;2015;12;213;1466;1256;Östra Göinge;T2884;Glimåkra;Skåne
9881;2015;10;64;398;1080;Karlskrona;T2744;Spjutsbygd;Blekinge
9882;2015;12;177;738;1257;Örkelljunga;T3188;Åsljunga;Skåne
9883;2015;12;212;1095;1292;Ängelholm;T2916;Hjärnarp;Skåne
9884;2015;10;71;386;1081;Ronneby;T2600;Backaryd;Blekinge
9885;2015;12;2024;27500;1292;Ängelholm;T3196;Ängelholm;Skåne
9886;2015;12;69;255;1292;Ängelholm;T3010;Margretetorp;Skåne
9887;2015;10;104;303;1060;Olofström;T2772;Vilshult;Blekinge
